D:\software\anaconda\envs\POP-net\python.exe E:\POPnet\POP_Net_Superpoint-master\train_POP_net.py 
E:\POPnet\POP_Net_Superpoint-master\train_POP_net.py:17: DeprecationWarning: Please use `maximum_filter` from the `scipy.ndimage` namespace, the `scipy.ndimage.filters` namespace is deprecated.
  from scipy.ndimage.filters import maximum_filter
E:\POPnet\POP_Net_Superpoint-master\train_POP_net.py:18: DeprecationWarning: Please use `binary_dilation` from the `scipy.ndimage` namespace, the `scipy.ndimage.morphology` namespace is deprecated.
  from scipy.ndimage.morphology import binary_dilation
  loss_det_foreground:0.2036  loss_det_background:0.2301  repeatability:2.7179  point_number:376.56 

## ep:0 iter:486/4999 ##  loss_detection:0.580  loss_description:0.1868  loss_informativeness:0.0000 
  loss_det_foreground:0.2814  loss_det_background:0.1896  repeatability:2.8747  point_number:436.36 

## ep:0 iter:490/4999 ##  loss_detection:0.571  loss_description:0.1863  loss_informativeness:0.0000 
  loss_det_foreground:0.2884  loss_det_background:0.1872  repeatability:2.6339  point_number:360.42 

## ep:0 iter:494/4999 ##  loss_detection:0.570  loss_description:0.1868  loss_informativeness:0.0000 
  loss_det_foreground:0.2765  loss_det_background:0.1996  repeatability:2.5793  point_number:391.35 

## ep:0 iter:498/4999 ##  loss_detection:0.610  loss_description:0.1871  loss_informativeness:0.0000 
  loss_det_foreground:0.3203  loss_det_background:0.1902  repeatability:2.3211  point_number:396.46 

## ep:0 iter:502/4999 ##  loss_detection:0.579  loss_description:0.1868  loss_informativeness:0.0000 
  loss_det_foreground:0.2325  loss_det_background:0.2151  repeatability:2.4650  point_number:371.95 

## ep:0 iter:506/4999 ##  loss_detection:0.556  loss_description:0.1865  loss_informativeness:0.0000 
  loss_det_foreground:0.2367  loss_det_background:0.2232  repeatability:2.7286  point_number:379.80 

## ep:0 iter:510/4999 ##  loss_detection:0.753  loss_description:0.1869  loss_informativeness:0.0000 
  loss_det_foreground:0.2951  loss_det_background:0.2003  repeatability:2.7989  point_number:371.85 

